id,card_brand,card_type,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,pin_age,expire_year,account_age,multi_card_client,limit_category
4524,Visa,Debit,yes,2,24295,09/2002,2008,no,18,2022,4,yes,premium
2731,Visa,Debit,yes,2,21968,04/2014,2014,no,12,2020,6,yes,premium
3701,Visa,Debit,yes,2,46414,07/2003,2004,no,22,2024,2,yes,premium
42,Visa,Credit,no,1,12400,01/2003,2012,no,14,2024,2,no,premium
4659,Mastercard,Debit (Prepaid),yes,1,28,09/2008,2009,no,17,2009,17,no,low
4537,Visa,Credit,yes,1,27500,09/2003,2012,no,14,2003,23,no,premium
1278,Visa,Debit,yes,2,28508,02/2011,2011,no,15,2022,4,yes,premium
3687,Mastercard,Debit,yes,2,9022,07/2003,2015,no,11,2022,4,yes,high
3465,Mastercard,Debit (Prepaid),yes,2,54,06/2010,2015,no,11,2020,6,yes,low
3754,Mastercard,Debit (Prepaid),yes,1,99,07/2006,2012,no,14,2023,3,no,low
5144,Mastercard,Debit,yes,2,31599,10/2009,2009,no,17,2022,4,yes,premium
2029,Mastercard,Debit,no,2,27480,03/2002,2008,no,18,2023,3,yes,premium
2379,Mastercard,Debit,yes,1,26743,03/2019,2019,no,7,2020,6,no,premium
2732,Visa,Debit,yes,1,31463,04/2014,2014,no,12,2020,6,no,premium
4706,Mastercard,Debit,yes,1,16055,09/2009,2009,no,17,2024,2,no,premium
281,Visa,Credit,yes,2,98100,01/2011,2011,no,15,2015,11,yes,premium
1106,Mastercard,Debit (Prepaid),yes,1,62,02/2007,2007,no,19,2020,6,no,low
5621,Visa,Debit,yes,1,132439,11/2010,2011,no,15,2022,4,no,premium
5165,Visa,Debit,yes,1,125723,10/2009,2010,no,16,2020,6,no,premium
5757,Mastercard,Debit,yes,1,34900,12/1999,2012,no,14,2022,4,no,premium
27,Visa,Credit,yes,2,9900,01/2002,2019,no,7,2021,5,yes,high
4648,Visa,Debit,yes,2,21587,09/2007,2007,no,19,2013,13,yes,premium
5435,Visa,Credit,yes,2,15800,11/2005,2011,no,15,2022,4,yes,premium
3287,Mastercard,Debit,yes,1,29964,06/2005,2014,no,12,2022,4,no,premium
4761,Mastercard,Credit,yes,2,11200,09/2010,2010,no,16,2023,3,yes,premium
5286,Mastercard,Debit,no,2,26753,10/2014,2014,no,12,2021,5,yes,premium
744,Visa,Debit,no,2,17480,01/2020,2020,no,6,2023,3,yes,premium
5559,Mastercard,Debit,yes,2,26546,11/2009,2009,no,17,2021,5,yes,premium
4905,Mastercard,Debit,yes,1,23253,09/2017,2017,no,9,2021,5,no,premium
79,Visa,Credit,yes,1,16100,01/2005,2014,no,12,2021,5,no,premium
301,Visa,Credit,yes,2,8700,01/2012,2012,no,14,2021,5,yes,high
3115,Mastercard,Debit,yes,1,29333,05/2012,2012,no,14,2019,7,no,premium
3880,Mastercard,Debit,yes,2,9496,07/2009,2012,no,14,2024,2,yes,high
1766,Visa,Debit,yes,1,25499,02/2020,2020,no,6,2021,5,no,premium
1767,Visa,Debit,yes,1,18641,02/2020,2020,no,6,2020,6,no,premium
745,Visa,Debit,yes,1,26019,01/2020,2020,no,6,2023,3,no,premium
1459,Mastercard,Debit,yes,1,25845,02/2020,2020,no,6,2021,5,no,premium
138,Visa,Debit,yes,2,2365,01/2007,2009,no,17,2023,3,yes,medium
3755,Mastercard,Debit,yes,2,18684,07/2006,2017,no,9,2023,3,yes,premium
1768,Visa,Credit,no,2,7400,02/2020,2020,no,6,2021,5,yes,high
5924,Mastercard,Debit,yes,2,4147,12/2008,2016,no,10,2024,2,yes,medium
6074,Visa,Debit (Prepaid),yes,1,76,12/2012,2012,no,14,2022,4,no,low
5923,Discover,Credit,no,1,4700,12/2008,2014,no,12,2009,17,no,medium
4223,Visa,Credit,yes,2,5800,08/2007,2011,no,15,2021,5,yes,high
4455,Mastercard,Debit,yes,2,12082,08/2016,2016,no,10,2024,2,yes,premium
3234,Mastercard,Credit,no,2,6000,06/2002,2010,no,16,2023,3,yes,high
1005,Visa,Debit,yes,1,620,02/2002,2014,no,12,2009,17,no,low
151,Mastercard,Debit,yes,1,14499,01/2008,2008,no,18,2022,4,no,premium
4198,Mastercard,Debit,yes,2,12332,08/2007,2009,no,17,2023,3,yes,premium
4403,Mastercard,Debit,yes,1,18424,08/2013,2013,no,13,2024,2,no,premium
4120,Visa,Credit,no,1,15400,08/2003,2008,no,18,2023,3,no,premium
4224,Visa,Debit,yes,2,14548,08/2007,2013,no,13,2022,4,yes,premium
4895,Mastercard,Credit,yes,2,10100,09/2016,2016,no,10,2016,10,yes,premium
1028,Discover,Credit,yes,1,11200,02/2004,2008,no,18,2011,15,no,premium
5956,Mastercard,Debit,yes,2,20291,12/2009,2011,no,15,2024,2,yes,premium
107,Visa,Debit,yes,1,32092,01/2006,2010,no,16,2018,8,no,premium
440,Mastercard,Debit,yes,1,20463,01/2020,2020,no,6,2020,6,no,premium
746,Visa,Debit,yes,1,15802,01/2020,2020,no,6,2022,4,no,premium
1769,Visa,Debit,no,2,4612,02/2020,2020,no,6,2020,6,yes,medium
421,Discover,Credit,yes,2,19900,01/2020,2020,no,6,2020,6,yes,premium
974,Mastercard,Debit (Prepaid),yes,1,73,02/2000,2012,no,14,2020,6,no,low
4707,Mastercard,Debit,yes,1,11858,09/2009,2010,no,16,2024,2,no,premium
7,Mastercard,Debit,yes,1,9664,01/1998,2011,no,15,2005,21,no,high
2212,Mastercard,Debit,yes,1,8367,03/2009,2009,no,17,2020,6,no,high
1038,Visa,Credit,yes,2,6100,02/2004,2009,no,17,2022,4,yes,high
1460,Mastercard,Debit,yes,3,9944,02/2020,2020,no,6,2020,6,yes,high
747,Visa,Credit,yes,1,7900,01/2020,2020,no,6,2020,6,no,high
1770,Visa,Credit,yes,1,5600,02/2020,2020,no,6,2020,6,no,high
748,Visa,Debit,yes,1,68400,01/2020,2020,no,6,2023,3,no,premium
441,Mastercard,Debit,yes,2,77237,01/2020,2020,no,6,2023,3,yes,premium
3679,Visa,Debit,yes,2,4488,07/2002,2015,no,11,2024,2,yes,medium
5701,Visa,Credit,yes,2,12500,11/2014,2014,no,12,2020,6,yes,premium
4510,Mastercard,Debit,yes,2,23432,09/2001,2008,no,18,2020,6,yes,premium
2873,Amex,Credit,yes,2,8800,05/2005,2011,no,15,2022,4,yes,high
1461,Mastercard,Credit,yes,2,12100,02/2020,2020,no,6,2020,6,yes,premium
442,Mastercard,Debit,yes,1,9708,01/2020,2020,no,6,2020,6,no,high
3877,Amex,Credit,yes,2,12000,07/2009,2011,no,15,2021,5,yes,premium
2296,Mastercard,Debit,yes,1,11973,03/2012,2012,no,14,2023,3,no,premium
5048,Mastercard,Debit,yes,2,13601,10/2006,2014,no,12,2022,4,yes,premium
1462,Mastercard,Credit,yes,2,7800,02/2020,2020,no,6,2024,2,yes,high
4269,Visa,Debit,yes,2,17816,08/2008,2016,no,10,2023,3,yes,premium
5188,Mastercard,Debit,no,2,17707,10/2010,2010,no,16,2021,5,yes,premium
2874,Amex,Credit,yes,1,9500,05/2005,2009,no,17,2020,6,no,high
3041,Mastercard,Debit,yes,1,19110,05/2010,2011,no,15,2022,4,no,premium
5312,Mastercard,Debit,yes,1,13428,10/2016,2016,no,10,2023,3,no,premium
4150,Mastercard,Debit,yes,1,24608,08/2005,2009,no,17,2022,4,no,premium
152,Mastercard,Debit,yes,1,13441,01/2008,2011,no,15,2022,4,no,premium
443,Mastercard,Debit (Prepaid),yes,2,74,01/2020,2020,no,6,2020,6,yes,low
3377,Mastercard,Debit,yes,1,17872,06/2008,2008,no,18,2012,14,no,premium
5789,Mastercard,Credit,yes,1,12900,12/2003,2010,no,16,2022,4,no,premium
2106,Mastercard,Debit,yes,2,25264,03/2006,2020,no,6,2024,2,yes,premium
2078,Mastercard,Debit,yes,2,20634,03/2005,2007,no,19,2022,4,yes,premium
5866,Visa,Credit,yes,2,12200,12/2006,2010,no,16,2007,19,yes,premium
173,Visa,Credit,yes,2,5500,01/2008,2008,no,18,2010,16,yes,high
1771,Visa,Credit,no,2,6600,02/2020,2020,no,6,2020,6,yes,high
6132,Mastercard,Debit,yes,1,25815,12/2017,2017,no,9,2020,6,no,premium
327,Amex,Credit,yes,2,8400,01/2014,2014,no,12,2021,5,yes,high
2019,Mastercard,Debit,yes,1,21628,03/2001,2008,no,18,2020,6,no,premium
3881,Mastercard,Debit,yes,1,24232,07/2009,2009,no,17,2021,5,no,premium
1166,Mastercard,Debit,yes,2,10775,02/2009,2010,no,16,2023,3,yes,premium
